Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng,NEW_Country,NEW_City
Cuba,Remedios,50,Good,0,Good,20,Good,1,Good,50,Good,7.0275,-74.6939,Colombia,Remedios
United States of America,Union City,73,Moderate,2,Good,19,Good,19,Good,73,Moderate,40.7675,-74.0323,United States,Union City
United States of America,Union City,73,Moderate,2,Good,19,Good,19,Good,73,Moderate,37.6032,-122.0181,United States,Union City
United States of America,Union City,73,Moderate,2,Good,19,Good,19,Good,73,Moderate,33.5942,-84.5629,United States,Union City
United States of America,Union City,73,Moderate,2,Good,19,Good,19,Good,73,Moderate,36.4267,-89.0474,United States,Union City
United States of America,Waverly,70,Moderate,2,Good,20,Good,10,Good,70,Moderate,42.7401,-84.6354,United States,Eaton County
United States of America,Waverly,70,Moderate,2,Good,20,Good,10,Good,70,Moderate,42.725,-92.4708,United States,Waverly
Philippines,La Carlota,36,Good,1,Good,18,Good,0,Good,36,Good,10.4167,122.9167,Philippines,La Carlota
Philippines,La Carlota,36,Good,1,Good,18,Good,0,Good,36,Good,37.6667,-4.9333,Spain,La Carlota
Philippines,La Carlota,36,Good,1,Good,18,Good,0,Good,36,Good,-33.4333,-63.3,Argentina,La Carlota
Colombia,La Dorada,70,Moderate,3,Good,7,Good,4,Good,70,Moderate,5.4538,-74.6647,Colombia,La Dorada
Colombia,La Dorada,70,Moderate,3,Good,7,Good,4,Good,70,Moderate,0.3436,-76.9108,Colombia,San Miguel (La Dorada)
United States of America,Lincoln Park,66,Moderate,2,Good,21,Good,15,Good,66,Moderate,42.2432,-83.1811,United States,Lincoln Park
United States of America,Lincoln Park,66,Moderate,2,Good,21,Good,15,Good,66,Moderate,40.9239,-74.3035,United States,Lincoln Park
Ecuador,Loja,16,Good,1,Good,6,Good,0,Good,16,Good,-3.9833,-79.2,Ecuador,Loja
Ecuador,Loja,16,Good,1,Good,6,Good,0,Good,16,Good,37.1667,-4.15,Spain,Loja
Germany,Landsberg,58,Moderate,1,Good,37,Good,3,Good,58,Moderate,48.0478,10.8989,Germany,Landsberg am Lech
Germany,Landsberg,58,Moderate,1,Good,37,Good,3,Good,58,Moderate,51.5333,12.1667,Germany,Landsberg
United States of America,Manchester,58,Moderate,1,Good,27,Good,6,Good,58,Moderate,53.4794,-2.2453,United Kingdom,Manchester
United States of America,Manchester,58,Moderate,1,Good,27,Good,6,Good,58,Moderate,42.9848,-71.4447,United States,Manchester
United States of America,Manchester,58,Moderate,1,Good,27,Good,6,Good,58,Moderate,41.7753,-72.5242,United States,Manchester
United States of America,Manchester,58,Moderate,1,Good,27,Good,6,Good,58,Moderate,39.9652,-74.3738,United States,Manchester Township
United States of America,Manchester,58,Moderate,1,Good,27,Good,6,Good,58,Moderate,38.583,-90.5064,United States,Manchester
